7H,ABL,OTZ,556
7H,ABL,SHG,622
7H,ADQ,ANC,535
7H,AIN,BRW,957
7H,AKI,TLT,839
7H,ANC,ADQ,449
7H,ANC,BET,160
7H,ANC,CDV,108
7H,ANC,ENA,652
7H,ANC,FAI,844
7H,ANC,HOM,322
7H,ANC,UNK,838
7H,ANC,VDZ,186
7H,ATT,BET,603
7H,AUK,EMK,879
7H,AUK,SXP,799
7H,BET,ANC,423
7H,BET,CYF,898
7H,BET,EEK,341
7H,BET,KKH,693
7H,BET,KUK,297
7H,BET,KWK,408
7H,BET,KWN,344
7H,BET,KWT,892
7H,BET,MLL,702
7H,BET,NME,581
7H,BET,OOK,838
7H,BET,PQS,491
7H,BET,TLT,133
7H,BET,WTL,707
7H,BKC,OTZ,659
7H,BRW,AIN,726
7H,BRW,NUI,359
7H,BRW,PIZ,441
7H,BTI,FYU,912
7H,BTI,SCC,218
7H,CDV,ANC,524
7H,CHU,CKD,806
7H,CKD,RDV,912
7H,CKD,SLQ,675
7H,CYF,BET,683
7H,CYF,KPN,118
7H,EEK,KWN,161
7H,ELI,KKA,226
7H,ELI,OME,964
7H,EMK,AUK,813
7H,EMK,KOT,480
7H,ENA,ANC,763
7H,FAI,ANC,435
7H,FAI,FYU,201
7H,FAI,GAL,378
7H,FAI,SCC,500
7H,FYU,BTI,277
7H,FYU,FAI,854
7H,GAL,FAI,157
7H,GAL,HSL,890
7H,GAL,NUL,293
7H,GLV,OME,789
7H,GLV,WMO,618
7H,HOM,ANC,479
7H,HSL,GAL,668
7H,HSL,KYU,688
7H,IAN,ORV,740
7H,IAN,OTZ,786
7H,KGX,SHX,987
7H,KKA,ELI,604
7H,KKA,SKK,720
7H,KKA,UNK,579
7H,KKH,BET,198
7H,KKH,KWK,479
7H,KOT,EMK,943
7H,KOT,WBB,886
7H,KPN,BET,787
7H,KPN,CYF,296
7H,KTS,TLA,613
7H,KTS,WAA,979
7H,KUK,NUP,432
7H,KWK,BET,567
7H,KWK,KKH,822
7H,KWK,KPN,303
7H,KWN,BET,906
7H,KWT,BET,120
7H,KYU,GAL,882
7H,MLL,RSH,428
7H,NME,OOK,417
7H,NME,TNK,920
7H,NUI,BRW,693
7H,NUI,SCC,895
7H,NUL,GAL,964
7H,NUP,ATT,493
7H,OBU,ABL,790
7H,OBU,OTZ,314
7H,OME,ELI,379
7H,OME,GLV,126
7H,OME,KTS,243
7H,OME,SKK,708
7H,OME,TLA,888
7H,OME,UNK,482
7H,OME,WAA,915
7H,OME,WBB,473
7H,OME,WMO,731
7H,OOK,TNK,700
7H,ORV,IAN,932
7H,ORV,OTZ,662
7H,OTZ,ABL,150
7H,OTZ,BKC,573
7H,OTZ,IAN,172
7H,OTZ,ORV,847
7H,OTZ,SHG,466
7H,OTZ,WLK,595
7H,PIZ,BRW,651
7H,PQS,BET,779
7H,RDV,SLQ,738
7H,RSH,BET,887
7H,SCC,BTI,153
7H,SCC,FAI,610
7H,SCC,NUI,900
7H,SCM,BET,192
7H,SHG,OBU,762
